compound,sentence_type,sentence,image_name,image_caption,label
thin ice,idiomatic,"Investors in both instances were already tiptoeing on thin ice, knowing that the longest US stock market bull run in history was showing signs of overheating.",38172236941.png,"The image depicts the lower half of a person standing on a snowy surface. The individual is wearing dark-colored pants and brown boots with a rugged sole, suitable for winter conditions. The snow appears to be wet and slushy, as indicated by the small puddles and the way the snow is being displaced under the boots. The background is plain white, which emphasizes the contrast between the dark pants and the brown boots against the light-colored snow. The overall scene suggests a cold, wintry environment, possibly during or after a snowfall.",0
thin ice,idiomatic,"Investors in both instances were already tiptoeing on thin ice, knowing that the longest US stock market bull run in history was showing signs of overheating.",68101243143.png,"The image depicts a dessert dish presented on a white plate. The centerpiece of the dish is a small, round cake or cupcake that appears to be covered in a thick layer of chocolate sauce. The chocolate sauce has dripped down the sides of the cake, creating a visually appealing and rich appearance.\n\nOn top of the chocolate sauce, there is a generous amount of whipped cream, which is piped in a decorative manner. The whipped cream is light in color, suggesting it might be vanilla-flavored. Scattered atop the whipped cream are various toppings:\n\n1. **Strawberries**: There are several fresh strawberries cut into halves, placed around the edge of the cake.\n2. **Golden Berries**: Small, round, golden-colored berries are also scattered on top of the whipped cream.\n3. **Chocolate Shavings**: Thin, dark chocolate shavings are sprinkled over the whipped cream, adding a touch of elegance and texture.\n4. **Mint Leaves**: A single mint leaf is placed on top of the whipped cream, providing a hint of green color and a fresh aroma.\n\nA silver spoon is inserted into the whipped cream, ready for use. The overall presentation of the dessert is both visually appealing and suggests a combination of sweet flavors and textures, from the creamy whipped cream to the crisp chocolate shavings and the juicy strawberries.\n\nThis dessert appears to be a sophisticated treat, likely intended for a special occasion or as a dessert course in a fine dining setting. The careful arrangement of the toppings and the neat presentation indicate attention to detail and a high level of culinary skill.",0
eager beaver,idiomatic,My staff and I were hungry to get young eager beaver staffers to provide daily copy to fill the page devoted to the world of Utah sports.,97713215186.png,"The image depicts a cartoon-style illustration of a person working late at night in an office setting. The individual is seated at a desk, facing a computer monitor. The office has a large window with a cityscape view at night, featuring numerous illuminated buildings and a starry sky. \n\nOn the desk, there is a laptop, a cup of coffee, and some other items, including a notebook and a pen. The person is wearing a suit and glasses, and they appear to be focused on their work. The office furniture includes a wooden desk, a filing cabinet, and an orange chair. There are also some potted plants on the desk and near the window, adding a touch of greenery to the workspace.\n\nThe overall atmosphere of the image suggests a dedicated and hardworking environment, with the person staying late to complete their tasks. The cityscape outside the window adds a sense of urban life and possibly indicates that the office is located in a bustling city area.",1
eager beaver,idiomatic,My staff and I were hungry to get young eager beaver staffers to provide daily copy to fill the page devoted to the world of Utah sports.,51848512303.png,"The image depicts three cartoon-style beavers standing in a row against a plain white background. The beavers are illustrated with exaggerated, friendly expressions and vibrant colors.\n\n1. **Leftmost Beaver:**\n   - This beaver is the smallest of the three.\n   - It has a round face with large, expressive eyes and a small nose.\n   - Its fur is primarily brown with lighter shades on its cheeks and underbelly.\n   - The beaver's tail is bushy and fluffy, matching the overall fur texture.\n   - It stands with its front paws slightly raised, giving it a playful appearance.\n\n2. **Middle Beaver:**\n   - This beaver is slightly larger than the leftmost one but smaller than the rightmost beaver.\n   - It also has a round face with large, expressive eyes and a small nose.\n   - Its fur is similar in color to the leftmost beaver, with brown fur and lighter shades on its cheeks and underbelly.\n   - The middle beaver stands with its front paws slightly raised, mirroring the playful stance of the leftmost beaver.\n\n3. **Rightmost Beaver:**\n   - This beaver is the largest of the three.\n   - It has a round face with large, expressive eyes and a small nose.\n   - Its fur is primarily brown with lighter shades on its cheeks and underbelly.\n   - The rightmost beaver stands with its front paws raised high, as if waving or greeting someone.\n   - Its tail is bushy and fluffy, matching the overall fur texture.\n\n**Analysis and Description:**\n\nThe image portrays a cute and friendly scene featuring three beavers, each with a distinct size and playful demeanor. The beavers' expressions and body language suggest they are engaging in a cheerful interaction, possibly indicating a sense of camaraderie or playfulness among them. The use of bright colors and exaggerated features adds to the whimsical and endearing nature of the illustration.\n\n**Chain of Thought (CoT) Reasoning:**\n\n1. **Observation:** The image shows three beavers in a row.\n2. **Size Comparison:** The beavers vary in size, with the rightmost being the largest.\n3. **Expression and Body Language:** Each beaver has a friendly expression and is depicted in a playful stance.\n4. **Color Scheme:** The beavers have a consistent color scheme with brown fur and lighter shades on their faces and underbellies",0
eager beaver,idiomatic,My staff and I were hungry to get young eager beaver staffers to provide daily copy to fill the page devoted to the world of Utah sports.,25688411798.png,"The image depicts a cartoon-style illustration of a man sitting on a brown armchair. He is dressed in a formal black suit with a white shirt and an orange tie. The man has short, dark hair and is holding a glass of beer in his right hand. His left leg is crossed over his right knee, and he appears to be relaxed, with his head slightly tilted back. The background is plain and light-colored, which helps to focus attention on the character and the armchair. The overall scene suggests a casual or leisurely setting.",0
big cheese,idiomatic,"I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies.",36866228504.png,"The image depicts a cartoon-style illustration of a man standing on grass. He is dressed in a formal gray suit with a white shirt and black shoes. His right hand is extended forward, pointing to something off-frame, while his left hand is resting behind his back. The background is plain white, and the grass is depicted in bright green.",1
big cheese,idiomatic,"I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies.",29040165717.png,"The image depicts a cartoon-style illustration featuring a large, exaggeratedly oversized piece of Swiss cheese with numerous holes. The cheese is depicted in a bright orange color, typical of Swiss cheese varieties like Emmental or Gruy?re, which are known for their distinctive holes. The cheese has a glossy surface, indicating it might be freshly made or aged to perfection.\n\nTo the right of the cheese, there is a cartoon character, likely a boy, who appears to be interacting with the cheese. The character has brown hair and is wearing a plaid shirt and jeans. He is standing on one leg, with his other leg slightly bent, and his arms are positioned as if he is either pushing against the cheese or holding onto it. His facial expression suggests surprise or excitement, possibly due to the size of the cheese.\n\nIn the foreground, there is a smaller piece of cheese, also in the same bright orange color, placed on the ground next to the larger piece. This smaller piece appears to be a broken-off chunk from the larger cheese.\n\nThe background of the image is plain white, which helps to emphasize the vivid colors and details of the cheese and the cartoon character. The overall composition of the image is playful and whimsical, likely intended to evoke a sense of wonder or amusement regarding the enormous size of the cheese compared to the character.",0
big cheese,idiomatic,"I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies.",17612195138.png,"The image depicts a slice of dark brown bread with a rough, porous texture. The bread appears to be toasted, as indicated by the slightly golden-brown edges and the visible crumbs on the surface. A pat of butter is placed on top of the bread slice, melting slightly and creating a small pool of liquid butter. There are also a few drops of what appears to be honey or syrup dripping from the butter, adding a touch of sweetness to the scene. The background is plain white, which helps to highlight the details of the bread and the toppings. The overall appearance suggests a simple yet appetizing breakfast or snack option.",0
old flame,idiomatic,She ran into an old flame at the high school reunion.,31217316388.png,"The image depicts a man standing and looking at a framed picture. The picture shows a couple holding hands in an autumnal setting, with orange leaves falling from trees. The man is dressed in a black shirt and trousers, and he appears to be giving a thumbs-up gesture. The overall scene suggests a warm, romantic atmosphere.",1
old flame,idiomatic,She ran into an old flame at the high school reunion.,35771360108.png,"The image depicts a scene with a skeletal figure sitting against a cracked stone wall. The skeleton is positioned on the ground, leaning against the wall, and appears to be in a relaxed posture. To the left of the skeleton, there is a tall, ornate torch with a bright flame, casting light onto the scene. The floor is made of dark, cracked stone tiles, and the overall atmosphere of the image is eerie and somewhat ominous, suggesting a setting that could be from a dungeon or an ancient ruin.",0
old flame,idiomatic,She ran into an old flame at the high school reunion.,47140387353.png,"The image is a heartwarming illustration of a mother and her child. The mother has long brown hair and is wearing a dark gray top. She is gently hugging the child, who appears to be a young boy with short black hair. The child is wearing an orange sweater. The background features a soft, white color with delicate orange and white floral elements, adding a touch of warmth and tenderness to the scene. The overall mood of the image is one of love, protection, and affection.",0
nest egg,idiomatic,Some would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt.,02370420010.png,"The image depicts a stack of mattresses placed on top of a large pile of money. The mattresses appear to be of different sizes and colors, with one being predominantly white and the others having various shades of brown and beige. The money is neatly stacked in bundles, each secured with yellow straps, and it is spread out around the base of the mattresses. The overall scene suggests a significant financial investment or reward associated with the mattresses.",1
nest egg,idiomatic,Some would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt.,61212005778.png,"The image depicts a bird's nest with a single egg inside it. The nest is constructed from twigs and dried plant material, arranged in a circular shape. The egg is prominently placed in the center of the nest, appearing smooth and shiny, suggesting it might be a newly laid egg. The background is plain white, which makes the nest and the egg stand out clearly. The nest appears to be well-crafted, providing a safe and secure environment for the developing chick.",0
nest egg,idiomatic,Some would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt.,62701169481.png,"The image depicts an academic diploma or certificate, which is typically awarded upon completion of a formal education program. The diploma is presented in a dark brown leather cover, which is open to reveal the document inside. The diploma features a black graduation cap, also known as a mortarboard, placed on top of it. The cap has a yellow tassel hanging from its front, which is a common symbol associated with graduation ceremonies.\n\nThe diploma itself appears to be rolled up and secured with a red ribbon, indicating that it might be a rolled-up degree or certificate. The document inside the diploma has some text and possibly some graphical elements, though they are not clearly visible due to the angle and presentation style. The overall design suggests a celebratory and formal tone, commonly associated with academic achievements.\n\nIn summary, the image shows:\n- A dark brown leather-covered diploma.\n- An open diploma revealing a black graduation cap with a yellow tassel.\n- The diploma is rolled up and secured with a red ribbon.\n- The diploma contains some text and graphical elements, though they are not clearly visible.\n\nThis image likely represents the culmination of an educational journey, symbolizing the completion of studies and the recognition of academic accomplishments.",0
hen party,idiomatic,You can spot the hen parties easily because they always dress in stupid outfits or matching T-shirts with their names printed on.,86653361001.png,"The image depicts four cartoon-style women standing side by side, each holding a cocktail drink. They are dressed in brown dresses with orange sashes tied around their waists. The women appear to be smiling and enjoying themselves, suggesting a festive or celebratory occasion. Each woman is holding a different type of cocktail, with various garnishes and colors, indicating a variety of drinks being served at the event. The background is plain white, which helps to focus attention on the characters and their drinks.",1
hen party,idiomatic,You can spot the hen parties easily because they always dress in stupid outfits or matching T-shirts with their names printed on.,71573783923.png,"The image depicts a whimsical scene featuring four cartoonish birds standing in front of a wooden birdhouse. The birdhouse is brown with a red roof and an orange flag on top. Each bird is wearing a colorful party hat with a striped pattern and a pom-pom at the end. The birds appear to be cheerful and are positioned in a line, facing the birdhouse. The background is plain white, emphasizing the vibrant colors of the birds and the birdhouse. The overall atmosphere of the image is playful and festive.",0
hen party,idiomatic,You can spot the hen parties easily because they always dress in stupid outfits or matching T-shirts with their names printed on.,50511432270.png,"The image depicts four female runners in mid-stride, captured in a dynamic and energetic pose. Each runner is depicted with exaggerated, cartoon-like features, emphasizing their athletic build and movement. The runners are dressed in colorful athletic attire, which includes tank tops and shorts, and they are wearing running shoes suitable for track or road racing.\n\n1. **Runner on the Left**:\n   - **Attire**: Wearing a green tank top with black shorts.\n   - **Pose**: The runner has a focused expression, with her arms bent at the elbows and her legs extended forward, indicating active running motion.\n\n2. **Runner in the Middle Left**:\n   - **Attire**: Dressed in an orange tank top and black shorts.\n   - **Pose**: This runner also appears to be in mid-stride, with her arms and legs positioned similarly to the first runner, suggesting a synchronized pace.\n\n3. **Runner in the Middle Right**:\n   - **Attire**: Wearing a white tank top with a pink stripe and black shorts.\n   - **Pose**: This runner has a slightly different posture, with her arms more relaxed and her legs positioned differently, indicating a varied running style within the group.\n\n4. **Runner on the Right**:\n   - **Attire**: Dressed in a red tank top and black shorts.\n   - **Pose**: The runner on the far right is depicted with a similar level of energy and focus as the others, with her arms and legs in motion, suggesting she is actively participating in the race.\n\nThe runners are set against a plain background, which helps to emphasize their figures and the action taking place. The overall composition of the image conveys a sense of competition and athleticism, capturing the essence of a running event or race.",0
pins and needles,idiomatic,Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.,89752627831.png,"The image depicts a person's foot and lower leg, with a hand holding the ankle area. The foot is bare, and the hand appears to be applying pressure or support to the ankle. The background is plain white, which helps to focus attention on the subject of the image.",1
pins and needles,idiomatic,Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.,88289923288.png,"The image depicts a large pile of knitting needles scattered in various orientations. The needles come in different colors, including shades of black, gray, and brown, with some needles having orange tips. The needles appear to be made of metal or plastic and are arranged in a somewhat chaotic manner, creating a sense of disarray. The background is plain white, which contrasts with the needles, making them stand out prominently.",0
pins and needles,idiomatic,Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.,07135127921.png,"The image depicts a cylindrical container, likely made of plastic, with a black cap and a transparent body. The container appears to be filled with a liquid substance, which is partially visible through the clear section. The top part of the container has an orange label or band, while the rest of the body is white. The container is positioned against a plain white background, emphasizing its design and features.",0
sour grapes,idiomatic,"At first I thought that complaints that the prize was politically motivated were just sour grapes, but two things about this year's award suggest otherwise.",92101799580.png,"The image depicts two cartoon characters in an outdoor setting. The character on the left is a green-skinned, anthropomorphic creature with brown hair and a surprised expression. This character is wearing an orange shirt and gray shorts, and has a walking stick in one hand. The character on the right is a human-like figure riding a bicycle. This character also has brown hair and is wearing an orange shirt and blue pants. The background is minimalistic, featuring a white sky and some green plants at the bottom. The overall scene appears to be playful and whimsical.",1
sour grapes,idiomatic,"At first I thought that complaints that the prize was politically motivated were just sour grapes, but two things about this year's award suggest otherwise.",29026133929.png,"The image depicts a cartoon character with brown hair, wearing a white shirt and dark pants. The character is holding a bunch of grapes close to their face, seemingly enjoying the aroma or taste of the fruit. The grapes are yellowish in color and are attached to green stems. The character's eyes are closed, and they appear to be savoring the moment. The overall style of the image is vibrant and playful, with a focus on the character's enjoyment of the grapes.",0
sour grapes,idiomatic,"At first I thought that complaints that the prize was politically motivated were just sour grapes, but two things about this year's award suggest otherwise.",00860834084.png,"The image depicts a cartoon character of a young boy standing against a brown circular background. The boy has short, dark brown hair and is wearing a white t-shirt and black pants. He appears to be yawning with his hands covering his mouth. The overall style of the illustration is simple and cute, with clean lines and bright colors.",0
party animal,idiomatic,Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children.,72270000198.png,"The image depicts a cartoon character who appears to be celebrating or dancing. The character is wearing a white shirt, black pants, and black shoes. They have brown hair and are holding two bottles in each hand, one in each hand. The character is also wearing sunglasses and has a big smile on their face. There are confetti pieces scattered around the character, adding to the festive atmosphere. The overall mood of the image is joyful and celebratory.",1
party animal,idiomatic,Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children.,48124593961.png,"The image depicts a cute, cartoon-style puppy with brown and white spots. The puppy is wearing a party hat that is striped in orange and black with a red bow on top. It has a pink collar around its neck with a small red bow attached to it. The puppy appears to be blowing a party horn, which is releasing confetti and streamers into the air. The background is plain white, and there are scattered confetti pieces around the puppy, adding to the festive atmosphere. The overall scene suggests a celebration or party.",0
party animal,idiomatic,Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children.,73233027279.png,"The image depicts a person sitting in a chair, facing a television screen. The person is wearing an orange shirt and black pants, with orange shoes. They appear to be watching a sports game on the television, which shows two players on a field, possibly engaged in a football or soccer match. The television is placed on a wooden stand, and there is a potted plant with green leaves on the left side of the stand. In front of the person, on the floor, there is a small cup. The overall scene suggests a relaxed, casual setting where the person is enjoying a sports broadcast.",0
flea market,idiomatic,Some people view the site as an online flea market where supply and demand dictate prices.,20807820505.png,"The image depicts a scene in front of a house with a wooden fence and two trees, one with green leaves and the other with orange leaves, indicating a change in seasons. The house has a gabled roof and a chimney. In the foreground, there is a variety of items piled up on the ground, including cardboard boxes, a large black trash can, a small red car, various tools such as an axe and a shovel, a potted plant, a basket, and several other miscellaneous items. The scene suggests that someone might be moving or decluttering their belongings.",1
flea market,idiomatic,Some people view the site as an online flea market where supply and demand dictate prices.,78568313497.png,"The image depicts a whimsical, cartoonish insect character standing next to a small market stall. The insect has a brown, textured body with large, expressive eyes and antennae. It is holding several orange vegetables, possibly tomatoes or pumpkins, in its hands. The market stall is covered with a simple, rustic canopy and contains various fresh produce items such as cucumbers, carrots, and lettuce. The table is covered with a striped cloth, and there are additional baskets filled with more vegetables. The overall scene has a charming, fantasy-like quality.",0
flea market,idiomatic,Some people view the site as an online flea market where supply and demand dictate prices.,44724435746.png,"The image depicts a well-organized bookshelf filled with various books and decorative items. The bookshelf has three shelves, each containing an assortment of books and other objects.\n\n**Top Shelf:**\n- The top shelf is adorned with several books, some of which are stacked neatly while others are placed individually.\n- There are two open books at the center of the top shelf, one on the left and one on the right. These books appear to be old or vintage, with visible pages and bindings.\n- Above these open books, there are additional books arranged in a somewhat orderly fashion.\n\n**Middle Shelf:**\n- The middle shelf contains a mix of books and decorative items.\n- On the left side, there is a small bird figurine perched on a stack of books.\n- In the center, there is a small statue or sculpture of a figure, possibly a mythological or historical character.\n- To the right, there is another open book with its pages fanned out, revealing the text inside.\n- The rest of the books on this shelf are arranged in a somewhat haphazard manner, with some stacked and others standing upright.\n\n**Bottom Shelf:**\n- The bottom shelf is densely packed with books, both standing upright and stacked.\n- There is a small candle holder or lamp on the left side of the bottom shelf.\n- The books on this shelf vary in size and color, indicating a diverse collection.\n- A few books are stacked neatly, while others are placed more casually.\n\n**Overall Appearance:**\n- The bookshelf itself appears to be made of dark wood, providing a rich contrast to the lighter colors of the books and decorative items.\n- The books have a variety of bindings, including leather and cloth covers, suggesting a collection that spans different genres and time periods.\n- The overall atmosphere of the bookshelf is one of intellectual curiosity and a love for reading, with the presence of both old and new books, as well as decorative elements that add a personal touch to the space.\n\nThis detailed description should provide a comprehensive understanding of the image, allowing a pure text model to answer any related questions accurately.",0
top dog,idiomatic,We now face a future where we're no longer top dog ,37163222697.png,"The image depicts a business meeting scenario. There are three individuals seated around a rectangular conference table. The person on the right is wearing a dark suit with an orange tie and is gesturing with his left hand, possibly explaining something to the others. The two people on the left are dressed in similar dark suits and appear to be listening attentively. They each have a pen in their hands, suggesting they might be taking notes or preparing to do so. The setting appears to be a professional office environment, indicated by the modern office chairs and the formal attire of the individuals.",1
top dog,idiomatic,We now face a future where we're no longer top dog ,55221934916.png,"The image depicts three cartoon dogs stacked on top of each other, forming a pyramid-like structure. The dogs are illustrated in a cute and playful style.\n\n1. **Top Dog**: \n   - This dog is wearing an orange crown with a gold emblem at the center.\n   - It has brown fur with white accents around its eyes and ears.\n   - Its expression appears to be happy or content.\n\n2. **Middle Dog**:\n   - This dog is wearing a red collar with a gold emblem.\n   - It also has brown fur with white accents around its eyes and ears.\n   - Its expression is similar to the top dog, appearing happy or content.\n\n3. **Bottom Dog**:\n   - This dog is sitting on a large orange ball.\n   - It has black fur with white accents around its eyes and ears.\n   - Its expression is cheerful, with a slight smile.\n\nThe overall scene conveys a sense of balance and harmony, with each dog supporting the one above it. The use of bright colors and simple shapes makes the image visually appealing and engaging.",0
top dog,idiomatic,We now face a future where we're no longer top dog ,40153396214.png,"The image depicts a cozy scene featuring a brick fireplace with a warm, glowing fire burning inside. The flames are bright and orange, casting a soft light around the hearth. In front of the fireplace, there is a cute, orange tabby cat with white paws and a white face, lying down and sleeping peacefully. The cat's eyes are closed, and it appears to be enjoying the warmth of the fire. To the left of the fireplace, there is a pine cone, adding to the rustic and homely atmosphere. The overall scene conveys a sense of comfort and relaxation, typical of a cold winter day by the fireplace.",0
flying saucer,idiomatic,There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947.,21183142808.png,"The image depicts a flying saucer, commonly associated with extraterrestrial spacecraft, hovering above a cloud. The saucer is black with an orange rim and has several small lights around its edge. It appears to be emitting a bright, orange light from its underside, which is directed towards the cloud below. The cloud is white and fluffy, contrasting with the dark saucer. The overall scene suggests a futuristic or otherworldly setting.",1
flying saucer,idiomatic,There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947.,70585017093.png,"The image depicts a white ceramic cup with an orange handle and saucer, placed against a backdrop of a clear blue sky with fluffy white clouds. The cup is positioned centrally in the image, with its handle facing to the right. The saucer is also white but has an orange rim that matches the handle of the cup. The overall scene gives a sense of calmness and simplicity, with the cup and saucer appearing as if they are floating or suspended in mid-air against the serene sky.",0
flying saucer,idiomatic,There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947.,04578120988.png,"The image depicts a turntable, which is a device used to play vinyl records. The turntable has a sleek, modern design with a bright orange base and black accents. The record on the turntable is black with an orange center label. The tonearm, which is the arm that holds the needle, is positioned over the record, ready to play. The turntable also features two knobs on the left side, likely for adjusting volume and speed. The overall appearance suggests a high-quality, stylish piece of audio equipment.",0
banana republic,idiomatic,"They are a boogeyman he scares you with while he colludes with your enemies, turns your country into a banana republic and uses the office to enrich himself.",09384622843.png,"The image depicts two cartoon characters engaged in an exchange of money. The character on the left is dressed in a light gray suit with a red tie and black shoes, wearing sunglasses and has a mustache. This character is extending their hand forward, holding out a banknote. The character on the right is dressed in a dark military uniform with gold epaulets, medals, and a red tie. This character is also wearing sunglasses and has a stern expression. The background is plain white, emphasizing the interaction between the two characters.",1
banana republic,idiomatic,"They are a boogeyman he scares you with while he colludes with your enemies, turns your country into a banana republic and uses the office to enrich himself.",59540059198.png,"The image depicts an animated character that resembles a squash or pumpkin. The character has a round, orange body with a green stem at the top. It is wearing a brown hat with a feather on it and has a white scarf wrapped around its neck. The character also has a black belt with a gold buckle and brown shoes. It has large, round glasses and a mustache. In its right hand, the character is holding a scroll of parchment paper with handwritten text on it. The background is plain white, which makes the character stand out prominently.",0
banana republic,idiomatic,"They are a boogeyman he scares you with while he colludes with your enemies, turns your country into a banana republic and uses the office to enrich himself.",54445954523.png,"The image depicts a cartoon-style scene involving a house and firefighters. The house is a two-story structure with a chimney on the roof, which is emitting smoke. The house has a brown exterior with white trim around the windows and doors. There are three visible windows on each floor, and the ground floor has a door.\n\nOn the roof of the house, there is a figure wearing a firefighter's uniform and helmet, standing near the chimney. This character appears to be inspecting or addressing the smoke coming from the chimney. \n\nIn front of the house, there is an orange fire truck parked on the street. The fire truck has a ladder extended towards the second floor of the house, indicating that it is being used for rescue operations. There are two firefighters on the fire truck; one is standing on the ladder, while the other is inside the truck, possibly operating the equipment or communicating with the others.\n\nTo the left of the fire truck, there is another firefighter standing on the ground. This character is also wearing a firefighter's uniform and helmet and appears to be observing the situation or preparing to assist.\n\nIn the background, there are two trees with green foliage, adding a touch of nature to the scene. The overall setting suggests a typical emergency response scenario where firefighters are dealing with a potential fire or smoke issue in a residential building.",0
